Index,Sentences,Label,Words,Notes,Unnamed: 5
322,That is a NO-NO and a security/privacy issue waiting to happen.,,,,
323,Make sure you stop by Gotta Bee Crepes for an amazing treat!,,,,
324,And they have so many vendors.,,,,
325,The delicious French pastries bumped this up to 4 stars.,quality,delicious,,
326,So maybe I'll think about it.,,,,
327,"In an airport pinch you might think this is the place for an organic stop and healthy eatery but at closer look, it carries the same salads, sandwiches and chips as all the other airport places.",quality,"organic, healthy",,
328,A small local business who gives so much to the community.,environment,"small, local, gives, community",,
329,The vibes are just right.,,,,
330,Much better market in the past.,,,,
331,"I've heard here and there that anyone who wasn't from Frankfort was pushed out, which I think is how New Lenox's went downhill so fast.",,,,
332,"We ended up getting ""El Gringo Loco"" Natural Buffalo Wing sauce.",,,,
333,BY FAR the best Farmer's Market in the area.,,,,
334,I was driving east on Argyle and the street was blocked off in preparation for the market around 4 o'clock.,,,,
335,"Tip...now is the time to get your peaches, because they are in season.",availability,"peaches, in season",,
336,"It's blowing away the competition (A-ville market), the prices are better and the selection is vast.",environment,"prices, selection, vast",price,
337,The atmosphere is great.,environment,atmosphere,,
338,"Been here a couple times now, and will definitely be back.",,,,
339,Some things are a tiny bit pricey but not as outrageous as some other health food stores I could frequent.,,,,
340,Overrated and overcrowded.,quality,"pricey, health",,
341,"With silly credit card policies, you should avoid this place and head to Thies'.",environment,overcrowded,,
342,"Gotta Bee Crepes usually makes an appearance (with a very long line for amazing, fresh crepes) and the knife sharpener is fun to watch.",environment,credit card,,
343,Looked like a decent amount of people were going.,,,,
344,"Take a few laps to compare prices, then dive in.",environment,"decent, people",,
345,This is my third summer attending and I have gotten to know some of the vendors who are wonderful at explaining their products.,,,,
346,Why yes!,,,,
347,The apples looked diseased.,safety,diseased,,
348,"And I love supporting local business, but the spectacular taste of these rum cakes is what keeps you going back.","quality, environment","supporting, local, taste",,
349,When walking in it's not clear what forms of payments are accepted as a first timer but we figured it out from the vendor.,,,,
350,There is some great coffee available right in the farmer's market for a little pick me up.,environment,coffee,,
351,The processing area was extremely clean and I have no qualms about becoming a regular of this establishment.,safety,clean,,
352,"But seriously, Stock up on that cottage bacon.",,,,
353,Picked up a couple things and headed to the register where I proceeded to wait for the next 10 minutes while they stocked their fridge with meat in the interim 4 or 5 more customers walked in and they quickly ran to take care of them while I continued to wait.,environment,"picked up, take care, customers",,
354,"I got some really lovely purple asparagus, the first Michigan strawberries of the season, and some great spinach that stays fresh for a looooong time.","quality, availability","lovely, asparagus, season, great, spinach, stays fresh",,
355,The Maplewood Farmer's Market takes place every Wednesday from 4-7p.m. during the seasonal months.,,,,
356,Had less vendors than the Logan Square Farmers Market.,,,,
357,"Basically, they get meat, eggs, etc. from various farms within a 200 mile radius or something.",availability,"they get, etc. various",,
358,This market makes my Saturday mornings!,,,,
359,Challenge yourself and walk over from your Michigan Avenue hotel.,,,,
360,"Another bonus is that it is at 1pm, so you don't have to rush the morning to get the best stuff!",,,,
361,Visited last Saturday after an outstanding stop a few years ago.,,,,
362,"If we don't buy meat, we'll drop ~$20 for the week's haul.",,,,
363,"PRICING: Pricing is reasonable, $2 for a wheatgrass plant, $7 for spiced tofu, $5 for a medium sized container of blueberries.",environment,"pricing, reasonable, blueberries",price,
364,Maybe every Saturday is different?,,,,
365,"For example, the practically ubiquitous Bennison's Bakery and Mint Creek Farms will outfit you with breads or sweets and sheep or goat meat, respectively.",,,,
366,The Bensidoun Company now hosts 10-12 markets weekly- each one offering something unique to it's community.,environment,"offering, unique, community",,
367,Finding nearby metered street parking can be a challenge but if you park a few blocks away and walk in to the market you should be ok.,environment,"nearby, parking, blocks, walk",,
368,The best time to visit is Friday late afternoon or Saturday that's when they have the best selection !,availability,best selection,,
369,"Arugula, cilantro, basil (italian, lemon, thai), cucumbers, white and red potatoes.",availability,"arugula, cilantro, basil, cucumber, potatoes",,
370,I do like the honey and the live music though.,environment,live music,,
371,Stuff I love to about it: 1.,,,,
372,"Robert Heinlein once wrote that an example of a ""man with unintegrated values"" is one ""who eats meat but would rather somebody else did the butchering.""",,,,
373,"We couldn't pick any apples or pumpkins, or run around in any fields.",availability,"pick, apples, pumpkins",,
374,Love to see the community coming together on Argyle to put on this wonderful weekend event!,environment,"community, together, event",,
375,There's a stand with a guy making fresh donuts.,environment,fresh donuts,,
376,"A lot of the side streets around the park are no parking zones, and the two lots belonging to the park were full.",environment,parking,,
377,"Intimate setting, local foods, even pizza while you wait.",environment,"intimate, setting, pizza",,
378,After 6pm the playground opens.,environment,playground,,
379,There's always parking and easy to get to.,environment,parking,,
380,Nice to be able to talk with the farmer's who grew the produce and ask questions without them trying to scam or cheat you.,environment,"talk, grew, ask questions",,
381,You have the option of taking a tractor ride out to the field to pick your pumpkins for $7 or $6 each if you buy 4 or more no matter the size (according to the website) or they have already picked ones that are priced to sell based off of size.,,"pick, pumpkins",,
382,I bought some for my pond - Fish - tilapia and koi - live - you have to pick up at their farm - Soap - Sugar scrubs - Lip Balm - Sauces - Maple syrup (and they sell syrup suckers!) - Produce baskets - Cheese - Nuts - Homemade pasta,,,,
383,No problem - I just ride the bicycle down there.,,,,
384,The park is a lovely setting for this wonderful market.,environment,"lovely, setting, wonderful",,
385,I have the Lincoln Square farmers market on Tuesdays in my neighborhood but that only has one organic guy & he has about 4 products.,availability,"only has, organic",,
386,It has just been repaved.,,,,
387,"Parking is free, there's no admission price and U-Pick apples are $19/peck.",environment,parking,,
388,Family friendly fun with a great reward.,environment,"family, friendly, fun",,
389,New year and this Farmers/Country Market has gotten even better!,,,,
390,My mouth is watering just thinking about it again.,,,,
391,They'll set you up with some cans to wear around your waist and buckets to dump the blueberries into when those are full.,,blueberries,,
392,"I don't feel overwhelmed with selection as I do at other farmers markets (not that I'm knocking you Daley Plaza, but sometimes I just leave with an apple because there are too many varieties of all produce) and there is a neighborhood feel to this farmers market.",availability,"too many, varieties of",,
393,I could not have planned my trip to Chicago and hotel location better.,,,,
394,"I still stop by the Portage Park market on the days it's running (keep one of their magnets on their fridge to check the dates, since it doesn't happen every week), but I've learned not to expect too much in the way of fruit and veggies.",,,,
395,Bring cash & plenty of it.,,,,
396,"The apples were delicious, friendly owner, and we all genuinely enjoyed our time.","quality, environment","delicious, friendly owner, ",,
397,The choice of all the local products is amazing.,availability,"choice, amazing",,
398,* http://www.glenviewparks.org/event/12th-annual-dairy-breakfast/ Love this place as a Farm.,,,,
399,"I would recommend this place for co-op members, people watchers, and farmer market lovers.",,,,
400,"When it's all hot and sunny, you are shaded and comfortable.",,,,
401,"Relaxing time, with great options.",environment,"hot, sunny, shaded, comfortable",,
402,"Here, you won't be charged admission to enter; there's no carnival rides, no tourist traps, no overpriced concession stands.",availability,"great, options",,
403,Absolutely a perfect orchard if you want to focus on picking apples!,environment,"charged, enter, overpriced",price,
404,I have lived in the South Loop for over 30 years and was so happy once I heard we would have a market in the South Loop.,,,,
405,There are some awesome vendors inside the Logan Square Farmers market.,environment,"awesome, vendors",,
406,There are multiple Amish vendors and I was lucky to spend a while talking to one of the Amish families about their farm and some of their core values.,environment,"Amish, vendors, talking, families, farm",,
407,"It is true that the first day, our vendors were taken by surprise with the turnout.",,,,
408,My wife was quite pleased with the lettuce.,availability,lettuce,,
409,"The best vegetables, fruits, baked goods, eggs, dog treats, flowers, etc.",availability,"vegetables, fruits, etc.",,
410,Slight increase in street traffic on market days but police assist in traffic control and pedestrian crossing.,environment,"tranffic, police",,
411,"On the way out, I stepped on some kind of dead rodent, a present from one of the many cats wandering around.",safety,dead rodent,,
412,"This market has 3 notable vendors, cheese; pretzel/bread and knife sharpener.",,,,
413,There are donkey rides but there's only a 70 pound limit so I was kind of bummed out about that.,,,,
414,What great offerings today.,availability,"great, offerings",,
415,For 2 small buckets of apples (about 25 apples) I was charged $34.00.,environment,"small, charged",price,
416,Prices are great.,environment,"prices, great",price,
417,I don't mind walking so I will park closer to the Pick 'n Save down towards 70th.,,,,
418,"They make their own salsas, and on the weekends they sell fresh homemade tamales as well.",,"salsas, they sell",,
419,So far there are two stands that sell rhubarb.,,,,
420,Also cool little cobs of red popcorn!,availability,"sell, rhubarb",,
421,Finding the mothership of all that delicious bread.,quality,delicious,,
422,"Watermelon, green onions which also appear to be fresh picked, locally produced honey and some of the best apples I've ever tasted.","quality, availability","watermelon, green onions, fresh picked, locally produced, tasted",,
423,The weather was perfect and the view of the acres of greenery with splashes of red strawberries throughout the field.,,"weather, red strawberries",,
424,Buying local doesn't get any better.,,,,
425,"Some of the kids running the table seem spaced out (maybe it was the heat), but no one is rude, and the guy with brown curly hair is cordial.",,,,
426,"Visiting the Glen Ellyn French Market was a bit of a surprise, since my family and I are used to the bustling Saturday market in Wheaton.",,,,
427,Great location for taking a hike along the river and getting great local foods.,environment,"hike, river, local",,
428,It is an outstanding bakery!,quality,outstanding,,
429,The amount of cheese on our pizza was nothing more than we would expect on a regular cheese pizza.,quality,"expect, regular",,
430,Talk about embarrassing!,,,,
431,"If I'm not browsing and buying flowers, I'm usually sitting on the steps of the MCA and eating my lunch/people-watching.",,,,
432,Had my kids not been with me I would have left.,,,,
433,Theres a nice variety of goods for sale.,availability,"a nice variety of goods, sell",,
434,Sheesh!,,,,
435,Like I said--the Disneyland of apple picking.,,apple picking,,
436,"What I love about this market is that it's unpretentious, friendly, and affordable.",environment,"unpretentious, friendly, affordable",,
437,We went for the u pick apples.,,"pick, apples",,
438,"But, feels good to support real farmers making real food.","quality, environment","support, real food",,
439,Sunday was always homemade chicken soup day.,,,,
440,Nice location and great place to people (and dog) watch.,environment,"people, dog",,
441,"Sometimes I'm in the mood for the madness that is the downtown farmer's market, but usually I just want a couple tomatoes.",,,,
442,Why?,,,,
443,Good place for lunch Look out Lincoln Park!!!,,,,
444,"Infused vinegars, herb rubs, fresh eggs, fresh pasta.",availability,"herb rubs, fresh",,
445,This is the easiest but offers a slight uphill walk to the market.,,,,
446,We had a terrible experience.,,,,
447,"It tasted like home, even, shall I dare say, incredible!",quality,"tasted like, incredible",,
448,"What's that, you say?",,,,
449,This is a big negative for me on market style places.,,,,
450,It meets all my criteria for a great farmers market: Has a diverse range of high quality foods - ,"quality, availability","diverse, high quality, family farms",,
451,check Connects me with local producers and farmers - check Supports small family farms - check Vendors are passionate about their products and share knowledge with customers - check,environment,"supports, family farms, passionate, share, customers",,
452,However we did end up purchasing some sausages to enjoy on the road.,,,,
453,It's not OK if your dog gets startled in a small area and goes crazy.,safety,"dog, crazy",,
454,"They don't have many customers, and I think that if the Fresh Thyme does not change for the better, it will loose remaining few that are still left.",environment,customer,,
455,"They didn't seem to care about me as a customer and the owners are terrible for lying to honest, hard-working people about their produce.",environment,"care about, customers, owners, terrible, lying, people",,
456,I liked this because I never really knew what to do with the outer covering when I clean corn at home.,safety,clean,,
457,I'm sadly disappointed.,,,,
458,At least there is parking garage next door so parking is a breeze!,environment,parking,,
459,I will impatiently await your return while biting my nails in anticipation.,,,,
460,"I stumbled upon this market by accident on a lunch break, but the variety of vendors has brought me back a few more times.",environment,variety of vendors,,
461,"Some weeks have a theme (e.g. dog day), so be sure to check out their Facebook page.",environment,"theme, dog day",,
462,So I was a chain store grocery shopper.,,,,
463,"This is one of the few farmer's markets on the weekend, so us M-F working stiffs in the 'burbs can enjoy it!",,,,
464,The chorizo empanada was also memorable and full of flavor.,quality,full of flavor,,
465,Best farmers market in Chicago- hands down!,,,,
466,"Make a day out of it, if you can - after this visit, head a little further into Union to visit the Illinois Railway Museum!",,,,
467,One of my favorite things to do is wake up on Saturday mornings in the summer and take a leisurely walk to the Lincoln Park Farmers Market.,,,,
468,"Seriously, come with an appetite.",,,,
469,"If you are looking for a family bonding experience, this is a great place to do it.",environment,"family bonding, place",,
470,"When you are actually standing there in front of the barn, there are several signs that say ""No pets.""",safety,no pets,,
471,"Picnic tables in the shade, dog friendly, engaging and educational.",environment,"dog friendly, educational",,
472,Now my favorite market for meat!,,,,
473,I have also purchased the bulk beef and pork from Wellhausen.,,,,
474,"I highly recommend the sharpening and watch guy - I was leery of handing off my Wusthof to a guy in a tent, but he did an excellent job.",,,,
475,There may still be time to get some before fall is completely upon us and the harvest is gone.,,,,
476,We have farmer markets in communities closer to our home.,environment,"communities, closer",,
477,"The checker didn't know any of the bread prices or any of the maybe fruit? bulk? stuffs...without any SKU numbers, she stood there with the person in front of us consulting a list.",,,,
478,The booth I never skip is the one with the African lady who sells awesome-smelling/working loose incense.,,,,
479,Tasty and crisp!,quality,"tasty, crisp",,
480,So I wasted 4 hours and a half tank of gas.,,,,
481,Everything from jewelry to flowers to wood products.,environment,"flowers, everything from",,
482,"Their preserves, produce and honey are wonderful and well priced.",quality,"wonderful, well priced",price,
483,Or remember before whole foods bought out fresh fields back in the day...yah it's been a while but fresh fields was soooo...much better and more affordable.,,,,
484,Good place to buy fresh produce at reasonable prices!,environment,"good place, fresh produce, reasonable prices",price,
485,Argyle is an important part of Uptown.,,,,
486,I did not see any signs of them there.,,,,
487,"I gave it the ""paper slice"" test and it passed with flying colors.",,,,
488,No pesticides used here on these foods.,quality,pesticides,,
489,"If you want commercially grown produce shipped from far away, then save yourself some time and money and get it at Wal-Mart.",,,,
490,Leeks!,availability,leeks,,
491,I am really torn about how I feel about doing business with Wellhausen Farms.,,,,
492,I stopped in for the first time a couple weekends ago.,,,,
493,Everything that we got here was superb.,,,,
494,"I grew up in Chicago, and lived here a good portion of my life, but finally, have gotten to a point where it feels like I have a neighborhood in Chicago.",,,,
495,And YUM!!!,quality ,yum,,
496,6) Grab a bloody-mary before you start 7) Find the Vietnamese Egg-Roll Stand outside.,,,,
497,This is a great little place!,environment,"great, little, place",,
498,"Mid/late April, sun shining, low wind, temps around 70.",,,,
499,But anyway I ended up just getting breakfast sausage for 7.99 which is pretty pricey.,,,,
500,Crafts and products of all sorts.,availability,of all sorts,,
501,There were chickens and you can feed goats.,,,,
502,I am permanently turned off of grocery store tomatoes.,,,,
503,"I am going back this week, and next week, and every week until they close.",,,,
504,They have ready made dishes that are out of this world.,,,,
505,I think this location has a lot of potential.,,,,
506,"I thought we'd just be there a few minutes. 30 minutes later +my lack of melanin, I was burnt!",,,,
507,"Anyway, this farmer's market is pretty small, but that had a fantastic variety of veggies.",availability,fantastic variety of veggies,,
508,I like variety and surprise.,availability,variety,,
509,"We ended up getting some of my favorite farmer's market cheese (apricot brie), a jar of hot habanero jelly from Katydids (which was the reason we went to the market in the first place), and a frozen pack of bangers for my husband.",availability,"apricot, habanero",,
510,"This market is a quick one to navigate - must do's - falafel tent, and the cheese guys.",,,,
511,"A lot of characters there that, if they're not too busy, are fun to engage.",environment,"characters, busy, fun",,
512,"But nevertheless, the stalls that are present are pretty good.",quality,pretty good,,
513,Nice selection of wine and craft beer.,availability,nice selection,,
514,I am telling you...I have a problem.,,,,
515,"In addition, they also have cooking classes here which might be helpful to some. this is one of the best farmer's markets in Chicago.",environment,"cooking classes, helpful",,
516,You should check it out.,,,,
517,Perfect!,quality,perfect,,
518,We also had a filling breakfast of crepes.,,,,
519,"We grab a bag of donuts fresh out of the fryer and walk around eating those sweet, crunchy fluffs from heaven.",environment,"donuts, walk",,
520,It is a well run operation that has shopping carts which most markets are missing.,environment,"operation, shopping carts",,
521,Delicious!,quality,delicious,,
522,Just sayin...,,,,
523,"For now it is asparagus, fresh ""Siam Queen"" Thai basil from Smits Farms is of a much better quality with larger leaves than I have found in other places in Chicago.",availability,"asparagus, basil, quality",,
524,Not much for sale.,availability,"much, sell",,
525,"We have a system because by the time we get through a couple of rows, our half peck bag is almost full and heavy.",,,,
526,It seems like the north suburbs are severely lacking in any kind of decent Farmer's Market.,environment,decent,,
527,Quality and prices are good.,quality,quality,price,
528,"If you want the traditional apple paper bags, they cost extra.",,,,
529,"Since this one opens at one, I still have plenty of time to drive here and look at items before the vendors start packing up for the day.",,"opens, drive, vendors",,
530,Oh and I forget to mention all the holiday traditions.,environment,"holiday, traditions",,
531,Take the drive and go there instead!,environment,drive,,
532,A dozen eggs starts at $2.50.,,,,
533,"Other than it being a tad toasty out today, it was a hit.",,,,
534,A plastic playground for toddlers that's pretty outdated.,environment,playground,,
535,Green City Market is as good as advertised.,environment,"good, advertised",,
536,Perhaps someone else will love them.,,,,
537,The food available is always exceptional.,"quality, availability","available, exceptional",,
538,This will be at least twice a week visit.,,,,
539,This is a perfect way to spend a few hours on a Saturday morning.,,,,
540,He's also asked if there are specific things we'd like them to stock to let us know so that they can carry them.,,,,
541,They usually have the best prices.,,prices,price,
542,To the point where they will even walk up to you at a table in a restaurant while you are eating - unsavory.,quality,unsavory,,
543,This review is for what happened the other day.,,,,
544,"I was expecting to pick up pre=picked strawberries at the farm stand, but instead there was an opportunity to pick out strawberries which was an awesome opportunity to take on.",environment,pick out strawberries,,
545,I don't know if this will be a regular thing for them.,,,,
546,"If you like peaches, these are a must-try.",availability,peaches,,
547,Love this store!,,,,
548,The one in the southwest corner is great as well.,environment,great,,
549,"It was kinda gross, a lot of damaged apples do it was hard to find good ones.",quality,"gross, damaged, hard to find good ones",,
550,"I was very impressed with the heatless jalapenos...I had never seen anything like them before and was blown away that these exist and more so, that I liked them as much as I did.",availability,jalapenos,,
551,Who knew the suburbs can be so much fun?!,environment,"suburbs, fun",,
552,The truth is we have a farmers' market desert in RP and the demand is huge- we and our vendors are doing our best to meet that demand.,availability,demand,business,
553,I believe it starts as early at 6am and people are usually all packed up and promptly headed out by 2pm.,,,,
554,"On 6/22/13 Keith & Abbie Folken provided entertainment, and on the 29th the Air Force Band of the Midwest played.",environment,"entertainment, played",,
555,"In addition to the variety of farmers selling their produce, you'll also find a variety of other vendors promoting their wares.",availability,"variety of, selling",,
556,Very fair prices.,,fair,price,
557,"We bought peaches ($2.50 a pound, pricey) and hoped they were good because there weren't any available to taste.","quality, availability","peaches, available, taste",,
558,"They are guaranteed cage free...I mean, sure they're fenced in on the 1-2 acre lot, but I'd consider that cage-free.",quality,cage free,,
559,"Knowing that brings a whole added level to the words ""comfort food"".",,,,
560,"It also pays to price compare, don't buy the first bushel of apples that catches your eye b/c I've noticed the prices vary vendor to vendor.",,prices vary,price,
561,"We'd make a morning of a little grocery shopping, and a breakfast of coffee and donuts while listening to the musicians they have each week.",environment,"shopping, coffee, donuts, musicians",,
562,I'll stick with the larger downtown and north side weekday markets.,,,,
563,So glad we only had to pay for what we picked.,,pay for,price,
564,"One plus is a lot of vendors give samples, so you can try a lot of stuff in case you forgot your cash (like me).",availability,"a lot of, samples",,
565,I head to Green City Market every Saturday morning.,,,,
566,I think maybe a sign or two letting people know they can park in that lot and don't have to do laps waiting for a metered space to open up would be nice.,environment,"sign, metered",,
567,"Finally, I saw a woman with varieties of hummus.",,,,
568,You will not find a market with greater heart in the city than this one!,,,,
569,"Also, the amount of food vendors is head spinning, from bubble teas to tacos, you name it, it will be there most likely.",availability,"amount, from to, name it, most",,
570,"Calmar, Ia.",,,,
571,It's more convenient and also lets me limit the amount of things purchased.,environment,"covenient, purchased",,
572,"Long story short, this place massively overdelivers on the general concept of corner store.",,,,
573,We will return many times while we are in the area.,,,,
574,"The price is now $1.50 per pound, 3 pound minimum, which is $4.50 before taxes (it is Illinois, after all).",,taxes,price,
575,"Love their hot salsa and their mango salsa, mixing them together is divine.",quality,divine,,
576,I simply couldn't crop it out. ;),,,,
577,"Lots of vendors with fruits, vegetables, pastries, breads, and handmade products.",availability,"lots of, with, vendors",,
578,"Quaint yes, makes you feel like you're in a Nora Ephron film (mainly the ones with Meg Ryan) yes absolutely!! - why else did I come here.",,,,
579,"The prices are a little higher than the other markets, however, the market is good if you need some fresh veggies or fruit if you don't have time to go to the Lincoln Park market on Armitage.",availability,"fresh veggies, fruit, need",price,
580,"I constantly want to try new things, but rarely make the time.",,,,
581,Have been shopping there for a couple years now.,environment,shopping,,
582,Best apple cider doughnuts on the planet!,"quality, availability","best, apple cider",,
583,"Any time I want to spend $5 for a small jar of cheese spread, no scratch that . . . . any time I want to spend $5 for a small jar of SPREADABLE CRACK COCAINE, I'm coming to the AFM and Brunkow Cheese of Wisconsin (of course).",,,,
584,I also recommend getting the apple pie.,,,,
585,"If you are Streeterville area, this is a great market to check out.",,,,
586,It deserves mention that this market has come a long way since my first few visits in 2012 where they had maybe 5 vendors and one of them were girl scouts that weren't selling girl scout cookies.,,,,
587,I even learned a couple of things while I was there.,environment,learned,,
588,Can't wait for more donuts!!!,environment,donuts,,
589,This one is impeccably clean and well organized.,safety,"clean, organized, impeccably",,
590,"I love trying new cheeses, salsas, breads, dips, candy, wine, fresh fruits and vegetables.",availability,trying,multiple commma,
591,It gives you an appreciation of the solidly build sturdy stairs with a perfect even shape.,,,,
592,Wear old shoes because it's messy.,safety,messy,,
593,I will give you a little explanation if you haven't been to a cattle sale before.,,,,
594,Plus it's nice to grab a small fresh snack right before entering the museum or while on your way out of it.,environment,"grab, snack, entering, museum",,
595,"I was there on a Wednesday, which is sheep and goat day.",,,,
596,Add this to your weekend To-Do List.,,,,
597,"Lots of good markets in Madison, but Monona is good choice if you want to get in and out quickly.",environment,"good choice, get out quickly",,
598,I saw other reviews saying things were expensive but they weren't at all.,,expensive,price,
599,I was disappointed I wasn't able to take home some of the great cheeses or fresh eggs.,quality,"great, fresh",,
600,Supporting locally sourced items has a significant positive impact.,environment,"supporting, locally sourced",,
601,"How about ice cream, sundaes, floats, and milk shakes?",,,multiple commma,
602,This was the 2nd Farmers Market I've gone to in Chicago and again wasn't very impressed.,,,,
603,I gave this feedback to Farmer Jim and he said he would pass it on the the butcher.,,,,
604,No signs from the manager of the market stating that was the case.,environment,"signs, manager",,
605,Everyone raved about them.,,,,
606,"The people were fairly friendly, and other foods seemed fresh.",environment,"people, friendly, fresh",,
607,"We came around lunch time on a Friday, and it wasn't very busy.",environment,busy,,
608,"It's still early, so variety of produce is more limited than it will be come August, but I make a point of picking up asparagus and spring onions on a weekly basis.",availability,"variety of, asparagus, onions",,
609,These guys are also usually at the Morton Grove FM as well.,,,,
610,I'm one of the few people who don't actually care for the donuts themselves but I do love how Pilgrim Church shares the donut sale proceeds with so many awesome community non-profits.,environment,"donuts, shares, community, non-profits",,
611,"On Wednesdays. 2018 stalls are very good for baked breads, wine tasting, food trucks, produce and even rare items like delicious homemade kimchi and korean veggies!","quality, availability","tasting, delicious, homemade",multiple commma,
612,Last Saturday was my first time here and I regret not going here earlier.,,,,
613,It's to die for.,quality,to die for,,
614,"I can't give as high a score as Julie D gave her pizza, but the pizza was tasty.",quality,tasty,,
615,Soulard is a large farmers market and it looks as though there are more than 50 vendors in there alone and I probably wouldn't be to far off to say well over 75 with street food and cooked foods and butchers and florist too.,,,,
616,If you'd like to see this mystery for yourself - walk clockwise around the square and examine what happens - it could be a new sport.,,,,
617,The prices are very reasonable for produce this fresh and delicious.,quality,"prices, resonable, fresh, delicious",price,
618,Really?,,,,
619,I found my apple picking place for years to come!,environment,apple picking,,
620,Needless to say I found the pumpkins somewhere else and will never use them again.,availability,pumpkins,,
621,I picked up a few soups and will definitely be back for more.,environment,picked up,,
622,There's a bank right across the street if you need to visit the ATM.,,,,
623,"Look for farm fresh go, but just be patient with the other patrons.",,,,
624,Another thing is they offer samples all over the store and kids get to snack on free produce!,environment,"offer, samples, kids, snack",,
625,They included a portable wood fire pizza oven and Gayle's Best Ever Grilled Cheese Sandwich.,,,,
626,This seasonal produce stand has been selling in front of the Edgewood 5 Seasons Car Wash (and other locations around town) for a number of years.,,seasonal,,
627,Two week ago I was up north near Argyle and. stumbled into Argyle's Night Market.,,,,
628,"They're not as big as Evanston's, yet they have a good selection of flowers, produce, miscellaneous spices, salsas, hand made soaps and clothing and jewelry vendors, although the prices are a bit high.",availability,a good selection of,multiple commma,price
629,They are just so darn nice and the cheese is melt-in-your-mouth good.,,,,
630,"Great, small market in the best 'hood in Chicago.",,,,
631,"The people are friendly I love coming to this place, I can get enough of their corn .Yum-yum. yummy!","quality, environment","friendly, yum-yum, yummy",,
632,This is my Saturday morning ritual.,,,,
633,Some booths are just okay which is why I gave a four star instead of five.,,,,
634,I LOVE IT!!!,,,,
635,Being from Chicago I find the selection of fantastic!,environment,"fantastic, selection",,
636,You really cannot beat a Saturday morning at the Tower Grove Farmer's Market.,,,,
637,Parking is pretty painless as there are a few small lots and plenty of street areas.,environment,parking,,
638,It is a great place.,environment,"great, place",,
639,I do come here for the donuts!!,environment,donuts,,
640,"When it first opens it's very packed, also remember to bring a large bag or basket if you plan to buy a lot.",,,,
641,We love the eggs!,,,,
642,"My grandparents come almost every week just to see what's for sale, and when I'm in town, I jump at the chance to accompany them.",,,,
643,Open from 7am-1pm from Mid May thru the end of October.,,,business,
644,"That can be purchased anywhere besides, I'm interested in produce.",,,,
645,It's accessible by train.,environment,accessible,,
646,"They have a water stand, too, which is helpful since it's been awfully hot lately.",environment,"water stand, helpful",,
647,"Cooked, diced, and sauteed.",,,,
648,Where ever he went her eyes went with a dirty look on her face.,,dirty look,,not safety!
649,"(You could also apply the ""pizza and sex"" rule here.)",environment,,,
650,There was barely any room to walk.,environment,"room, walk",,
651,"There are plenty of other stands to peruse- everything from flowers, pies, and jewelry to meat and salsas and more.",availability,"plenty of other, and more",,
652,Not many vendors but it has a great selection of vegetables.,availability,a great selection of,,
653,"Trust me, I've asked some stupid questions before, and I've got nothing but the most helpful and sincere answers.",environment,"asked, questions, helpful, sincere, answers",,
654,"We picked a bunch of Red and Granny Smith and even a few pink ladies, we really found a good selection of all.",availability,"a bunck of, a good selectin of",,
655,Great market with a convenient location.,environment,"convenient, location",,
656,"I'll keep going to the market, because maybe I went on an off weekend but would like to see more 'umph' with the vendors and merchants.",,,,
657,This stuff is simultaneously creamy and fluffy.,,"creamy, fluffy",,quality words but not about produce
658,Peoria's Farmers' Market on the Riverfront operates every Saturday during the summer.,,,,
659,On to other stuff they have.,,,,
660,"Yeah it is pretty small but prices are reasonable, it's right outside my back door practically, and ur supporting local businesses.",environment,"small, prices, reasonable, supporting, local",,
661,More will be coming as the season continues.,,,,
662,It only makes sense.,,,,
663,"The owner also gave tips about working with fresh chicken, you have to let it sit, chill to relax the muscles its best to cook it the day after or after at least 2 hrs refrigeration.",,,,
664,"There are random other stands that flit in and out throughout the market circuit, so every week brings something new to check out.",,,,
665,"They have various items - cheese, veggies, scarves, jewelry, baked goods, blueberries, meats, etc, etc.",availability,"they have, various, items, etc,",,
666,"I'm not sure about the melons, but the corn and tomatoes certainly aren't locally grown.","quality, availability","melons, tomatoes, corn, locally grown",,
667,I will DEFINITELY be going back to this market!,,,,
668,My favorite things to buy are the fresh flowers that are offered at a really good price and last a long time since they are fresh cut.,environment,fresh flowers,price,
669,Free parking and easily accessible.,environment,"parking, accesible",,
670,"We realized we'd been had when on the way home we passed a pumpkin patch that said ""2 pumpkins for $3"" (We paid $9 a piece for ours).",availability,pumpkins,,
671,Another perk: many of the people working here can answer questions about the produce and other products.,,,,
672,"By the time I had wandered through, my road rage had subsided and was replaced by hunger, so I was pretty happy to see a banner off in the distance with one of my favorite words: tamales.",,,,
673,This park is great to begin with and has a ton of parking so it's a great option!,,,,
674,I will definitely return.,,,,
675,The old Boley Farm is one of the true gems of the southwest suburbs.,,,,
676,I met Brady Bradine at the Farmer's Market.,,,,
677,Opening day!,,,,
678,"But seriously, how can you NOT be a fan?",,,,
679,I would recommend going through the week rather than the weekend.,,,,
680,Kinda weird.,,,,
681,The offerings are anemic compared to mega farmer's markets elsewhere but the movement is very grass roots.,environment,movement,,
682,Someone had Whoopie Pies!!! (But they were busy and we never went back...),,,,
683,"That, and it's not the cheapest market ever.",,cheapest,price,
684,"Microchip your pet, get a pet caricature, meet pups who are looking for a forever home, goody bags, coupon for free nail trim, raffles and more!!",environment,"pet, pups, coupon",,
